articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
e편한세상송도,아파트,전세,고/37,"3억 3,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2236697103
e편한세상송도,아파트,전세,고/39,"3억 2,000",113B,84,111동,http://rego.kr/rd/rd.asp?UID=2236687569
e편한세상송도,아파트,월세,고/35,"3,000",95B,70,105동,http://rego.kr/rd/rd.asp?UID=2236713670
e편한세상송도,아파트,전세,저/35,"3억 5,000",114A,84,109동,https://realestate.hankyung.com/naver-listing?UID=2236909164
e편한세상송도,아파트,월세,21/38,"5,000",95A,70,103동,http://www.serve.co.kr/naver/rd.asp?UID=2237380022
e편한세상송도,아파트,월세,고/39,3억,114A,84,107동,http://rego.kr/rd/rd.asp?UID=2236856226
e편한세상송도,아파트,매매,저/37,6억,95A,70,104동,http://rego.kr/rd/rd.asp?UID=2236718945
e편한세상송도,아파트,매매,28/38,"7억 5,000",95B-1,70,106동,http://www.serve.co.kr/naver/rd.asp?UID=2237231811
e편한세상송도,아파트,전세,중/33,"3억 3,000",114A,84,108동,http://rego.kr/rd/rd.asp?UID=2236603793
e편한세상송도,아파트,매매,저/39,"5억 9,000",95A,70,101동,http://land.mk.co.kr/rd/rd.php?UID=2236700401
e편한세상송도,아파트,매매,39/39,6억,95B,70,115동,http://rego.kr/rd/rd.asp?UID=2235643556
e편한세상송도,아파트,월세,33/35,2억,95A,70,105동,http://homesdid.co.kr/rd.asp?UID=2235586089
e편한세상송도,아파트,매매,중/35,8억,114A,84,109동,http://land.mk.co.kr/rd/rd.php?UID=2236705758
e편한세상송도,아파트,전세,고/39,4억,95A,70,115동,http://rego.kr/rd/rd.asp?UID=2236568016
e편한세상송도,아파트,월세,고/38,"3,000",95B-1,70,102동,http://land.mk.co.kr/rd/rd.php?UID=2236419919
e편한세상송도,아파트,매매,중/38,"5억 7,000",95A,70,106동,http://homesdid.co.kr/rd.asp?UID=2236483640
e편한세상송도,아파트,매매,저/37,"7억 8,000",114A,84,110동,http://homesdid.co.kr/rd.asp?UID=2236484217
e편한세상송도,아파트,전세,저/33,"2억 9,000",113B,84,108동,http://rego.kr/rd/rd.asp?UID=2236388251
e편한세상송도,아파트,전세,중/38,"2억 6,000",95A,70,106동,http://homesdid.co.kr/rd.asp?UID=2236424075
e편한세상송도,아파트,매매,고/35,"5억 8,000",95B-1,70,105동,http://land.mk.co.kr/rd/rd.php?UID=2236419175
e편한세상송도,아파트,월세,저/37,"5,000",95B,70,104동,http://rego.kr/rd/rd.asp?UID=2236501427
e편한세상송도,아파트,월세,저/39,"2,000",114A,84,111동,http://land.mk.co.kr/rd/rd.php?UID=2236532817
e편한세상송도,아파트,매매,고/39,10억,114A,84,112동,http://land.mk.co.kr/rd/rd.php?UID=2236552534
e편한세상송도,아파트,매매,고/39,"5억 6,500",95A,70,101동,http://rego.kr/rd/rd.asp?UID=2236434128
e편한세상송도,아파트,매매,저/39,6억,95A,70,114동,http://land.mk.co.kr/rd/rd.php?UID=2236553791
e편한세상송도,아파트,월세,저/38,"3,000",95A,70,103동,http://land.mk.co.kr/rd/rd.php?UID=2236415075
e편한세상송도,아파트,단기임대,중/39,2억,114A,84,107동,http://rego.kr/rd/rd.asp?UID=2237212506
e편한세상송도,아파트,전세,35/38,"2억 8,000",95A,70,106동,https://realestate.hankyung.com/naver-listing?UID=2235654105
e편한세상송도,아파트,단기임대,7/39,"2,000",95B-1,70,115동,http://land.mk.co.kr/rd/rd.php?UID=2235438132
e편한세상송도,아파트,월세,고/39,1억,95A,70,115동,http://rego.kr/rd/rd.asp?UID=2236376963
e편한세상송도,아파트,전세,고/35,3억,95A,70,105동,http://land.mk.co.kr/rd/rd.php?UID=2236459475
e편한세상송도,아파트,월세,중/39,2억,114A,84,107동,http://land.mk.co.kr/rd/rd.php?UID=2236333816
e편한세상송도,아파트,매매,고/38,"8억 5,000",95B-1,70,106동,http://rego.kr/rd/rd.asp?UID=2236544382
e편한세상송도,아파트,전세,고/39,"3억 5,000",114A,84,112동,https://realestate.hankyung.com/naver-listing?UID=2236476748
e편한세상송도,아파트,매매,고/33,"9억 5,000",114A,84,108동,http://rego.kr/rd/rd.asp?UID=2236321438
e편한세상송도,아파트,매매,저/39,"7억 5,000",114A,84,112동,http://land.mk.co.kr/rd/rd.php?UID=2236250612
e편한세상송도,아파트,월세,고/37,"3,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2236306609
e편한세상송도,아파트,전세,중/39,"3억 2,000",114A,84,107동,http://rego.kr/rd/rd.asp?UID=2236282055
e편한세상송도,아파트,월세,저/33,"5,000",113B,84,108동,http://land.mk.co.kr/rd/rd.php?UID=2236276261
e편한세상송도,아파트,매매,고/35,"8억 3,000",114A,84,109동,http://homesdid.co.kr/rd.asp?UID=2236271548
e편한세상송도,아파트,월세,중/33,"4,000",114A,84,108동,http://homesdid.co.kr/rd.asp?UID=2236256388
e편한세상송도,아파트,전세,저/39,"3억 5,000",114A,84,112동,http://land.mk.co.kr/rd/rd.php?UID=2236245120
e편한세상송도,아파트,월세,중/39,2억,114A,84,107동,http://rego.kr/rd/rd.asp?UID=2236225606
e편한세상송도,아파트,매매,저/39,6억,95B,70,101동,http://rego.kr/rd/rd.asp?UID=2236214110
e편한세상송도,아파트,매매,저/39,"5억 9,000",95A,70,113동,http://land.mk.co.kr/rd/rd.php?UID=2236245750
e편한세상송도,아파트,전세,27/38,"3억 1,000",95A,70,106동,http://rego.kr/rd/rd.asp?UID=2235274335
e편한세상송도,아파트,전세,8/35,"2억 8,000",95A,70,105동,http://rego.kr/rd/rd.asp?UID=2235276051
e편한세상송도,아파트,전세,고/37,"3억 2,000",95A,70,104동,http://www.serve.co.kr/naver/rd.asp?UID=2236294531
e편한세상송도,아파트,월세,중/39,"5,000",114A,84,112동,http://rego.kr/rd/rd.asp?UID=2236389945
e편한세상송도,아파트,매매,고/37,"6억 9,000",95B,70,104동,http://rego.kr/rd/rd.asp?UID=2236340399
e편한세상송도,아파트,전세,중/33,"3억 5,000",114A,84,108동,http://land.mk.co.kr/rd/rd.php?UID=2236358602
e편한세상송도,아파트,매매,34/38,"5억 8,000",95B,70,106동,http://www.serve.co.kr/naver/rd.asp?UID=2235305357
e편한세상송도,아파트,월세,중/38,"3,000",95A,70,103동,http://rego.kr/rd/rd.asp?UID=2236102364
e편한세상송도,아파트,매매,고/39,"5억 5,000",95B,70,101동,http://rego.kr/rd/rd.asp?UID=2236122349
e편한세상송도,아파트,월세,저/35,2억,95A,70,105동,https://realestate.hankyung.com/naver-listing?UID=2236080341
e편한세상송도,아파트,월세,저/39,"5,000",114A,84,111동,http://rego.kr/rd/rd.asp?UID=2236072884
e편한세상송도,아파트,전세,저/35,"2억 9,000",95A,70,105동,https://realestate.hankyung.com/naver-listing?UID=2236081686
